"
OCEAN 永续/USDT "	-44.60USDT≈ 44.59USD	2021/07/20 03:01:22
"
FTM 永续/USDT "	30.15USDT≈ 30.15USD	2021/07/20 02:00:16
"
ALGO 永续/USDT "	&lt; 0.01USDT≈ 0USD	2021/07/20 00:55:05
"
DGB 永续/USDT "	3.90USDT≈ 3.9USD	2021/07/20 00:20:08
"
DASH 永续/USDT "	3.66USDT≈ 3.66USD	2021/07/20 00:18:03
"
SXP 永续/USDT "	53.23USDT≈ 53.22USD	2021/07/19 23:05:07
"
ICP 永续/USDT "	6.09USDT≈ 6.09USD	2021/07/19 23:01:54
"
BAND 永续/USDT "	-7.01USDT≈ 7.01USD	2021/07/19 22:30:06
"
DASH 永续/USDT "	73.14USDT≈ 73.12USD	2021/07/19 22:21:09
"
ICP 永续/USDT "	3.70USDT≈ 3.7USD	2021/07/19 22:20:44
"
ALGO 永续/USDT "	-8.72USDT≈ 8.72USD	2021/07/19 22:20:18
"
DASH 永续/USDT "	-0.75USDT≈ 0.75USD	2021/07/19 22:02:18
"
ICP 永续/USDT "	-9.72USDT≈ 9.72USD	2021/07/19 21:20:13
"
ENJ 永续/USDT "	-18.77USDT≈ 18.77USD	2021/07/19 20:31:20
"
DOT 永续/USDT "	-55.42USDT≈ 55.41USD	2021/07/19 20:31:14
"
EOS 永续/USDT "	-24.14USDT≈ 24.14USD	2021/07/19 20:15:48
"
SOL 永续/USDT "	-2.92USDT≈ 2.92USD	2021/07/19 19:54:07
"
SOL 永续/USDT "	55.94USDT≈ 55.93USD	2021/07/19 19:24:39
"
ICP 永续/USDT "	11.99USDT≈ 11.99USD	2021/07/19 19:08:21
"
VET 永续/USDT "	-8.01USDT≈ 8.01USD	2021/07/19 18:45:21
"
XEM 永续/USDT "	-10.63USDT≈ 10.63USD	2021/07/19 18:06:42
"
DGB 永续/USDT "	0.21USDT≈ 0.21USD	2021/07/19 17:41:38
"
KSM 永续/USDT "	0.28USDT≈ 0.28USD	2021/07/19 16:13:44
"
XMR 永续/USDT "	0.40USDT≈ 0.4USD	2021/07/19 16:01:45
"
ENJ 永续/USDT "	4.12USDT≈ 4.12USD	2021/07/19 15:55:56
"
VET 永续/USDT "	1.52USDT≈ 1.52USD	2021/07/19 15:42:14
"
BAT 永续/USDT "	0.72USDT≈ 0.72USD	2021/07/19 15:15:02
"
SXP 永续/USDT "	-9.08USDT≈ 9.07USD	2021/07/19 15:01:29
"
IOST 永续/USDT "	2.42USDT≈ 2.42USD	2021/07/19 14:14:04
"
ATOM 永续/USDT "	2.22USDT≈ 2.22USD	2021/07/19 13:52:12
"
ALGO 永续/USDT "	-1.43USDT≈ 1.43USD	2021/07/19 13:46:11
"
ATOM 永续/USDT "	-1.24USDT≈ 1.24USD	2021/07/19 12:27:17
"
ICP 永续/USDT "	-4.70USDT≈ 4.7USD	2021/07/19 12:12:17
"
NEO 永续/USDT "	2.45USDT≈ 2.45USD	2021/07/19 12:00:46
"
ATOM 永续/USDT "	0.02USDT≈ 0.02USD	2021/07/19 11:35:00
"
OCEAN 永续/USDT "	-2.32USDT≈ 2.32USD	2021/07/19 10:12:43
"
DGB 永续/USDT "	1.05USDT≈ 1.05USD	2021/07/19 10:02:28
"
OCEAN 永续/USDT "	-14.42USDT≈ 14.42USD	2021/07/19 09:53:44
"
ICP 永续/USDT "	-3.36USDT≈ 3.36USD	2021/07/19 09:42:42
"
ICP 永续/USDT "	-5.71USDT≈ 5.71USD	2021/07/19 09:23:23
"
ATOM 永续/USDT "	6.86USDT≈ 6.86USD	2021/07/19 08:55:22
"
ICP 永续/USDT "	23.64USDT≈ 23.64USD	2021/07/19 06:30:44
"
FTM 永续/USDT "	-1.79USDT≈ 1.79USD	2021/07/19 06:17:25
"
ENJ 永续/USDT "	-0.04USDT≈ 0.04USD	2021/07/19 06:16:58
"
ALGO 永续/USDT "	0.11USDT≈ 0.11USD	2021/07/19 06:02:01
"
VET 永续/USDT "	-23.79USDT≈ 23.78USD	2021/07/19 05:48:49
"
RVN 永续/USDT "	-0.84USDT≈ 0.84USD	2021/07/19 05:28:43
"
ALGO 永续/USDT "	1.34USDT≈ 1.34USD	2021/07/19 05:18:40
"
ICP 永续/USDT "	17.18USDT≈ 17.18USD	2021/07/19 05:12:12
"
OCEAN 永续/USDT "	9.37USDT≈ 9.37USD	2021/07/19 04:49:51
"
BAND 永续/USDT "	1.47USDT≈ 1.47USD	2021/07/19 04:10:56
"
IOST 永续/USDT "	-1.74USDT≈ 1.74USD	2021/07/19 04:02:10
"
DGB 永续/USDT "	3.67USDT≈ 3.67USD	2021/07/19 03:29:17
"
ENJ 永续/USDT "	-0.21USDT≈ 0.21USD	2021/07/19 02:00:58
"
ATOM 永续/USDT "	7.26USDT≈ 7.26USD	2021/07/19 01:52:24
