"
XEM 永续/USDT "	0.22USDT≈ 0.22USD	2021/07/18 04:15:54
"
AVAX 永续/USDT "	8.60USDT≈ 8.59USD	2021/07/18 03:54:08
"
DGB 永续/USDT "	-2.23USDT≈ 2.23USD	2021/07/18 02:59:20
"
COMP 永续/USDT "	-4.33USDT≈ 4.32USD	2021/07/18 02:34:46
"
GRT 永续/USDT "	3.81USDT≈ 3.81USD	2021/07/18 01:55:04
"
BAT 永续/USDT "	-5.30USDT≈ 5.3USD	2021/07/18 01:10:41
"
FTM 永续/USDT "	5.89USDT≈ 5.88USD	2021/07/18 01:02:13
"
ENJ 永续/USDT "	-18.78USDT≈ 18.78USD	2021/07/18 00:27:17
"
SNX 永续/USDT "	0.18USDT≈ 0.18USD	2021/07/18 00:27:03
"
OCEAN 永续/USDT "	-12.51USDT≈ 12.5USD	2021/07/17 23:01:43
"
ICP 永续/USDT "	14.60USDT≈ 14.6USD	2021/07/17 23:01:25
"
FTM 永续/USDT "	9.58USDT≈ 9.58USD	2021/07/17 22:28:46
"
ALGO 永续/USDT "	-0.06USDT≈ 0.06USD	2021/07/17 21:08:52
"
OCEAN 永续/USDT "	-9.99USDT≈ 9.99USD	2021/07/17 20:37:04
"
DGB 永续/USDT "	-0.05USDT≈ 0.05USD	2021/07/17 19:52:14
"
MANA 永续/USDT "	-1.91USDT≈ 1.91USD	2021/07/17 19:43:30
"
ALGO 永续/USDT "	0.85USDT≈ 0.85USD	2021/07/17 19:35:01
"
COMP 永续/USDT "	-0.95USDT≈ 0.95USD	2021/07/17 18:47:30
"
MANA 永续/USDT "	-7.21USDT≈ 7.21USD	2021/07/17 18:29:56
"
OCEAN 永续/USDT "	9.52USDT≈ 9.52USD	2021/07/17 18:13:55
"
XEM 永续/USDT "	-4.44USDT≈ 4.44USD	2021/07/17 17:23:01
"
ALGO 永续/USDT "	-1.46USDT≈ 1.46USD	2021/07/17 16:41:53
"
LUNA 永续/USDT "	-22.93USDT≈ 22.93USD	2021/07/17 15:51:54
"
MANA 永续/USDT "	-0.10USDT≈ 0.1USD	2021/07/17 15:49:04
"
ALGO 永续/USDT "	-0.69USDT≈ 0.69USD	2021/07/17 14:04:57
"
ALGO 永续/USDT "	-4.26USDT≈ 4.26USD	2021/07/17 13:17:12
"
COMP 永续/USDT "	1.04USDT≈ 1.04USD	2021/07/17 12:20:26
"
XEM 永续/USDT "	-25.79USDT≈ 25.78USD	2021/07/17 12:10:57
"
VET 永续/USDT "	-14.25USDT≈ 14.25USD	2021/07/17 11:53:39
"
ATOM 永续/USDT "	32.80USDT≈ 32.79USD	2021/07/17 11:36:56
"
ICP 永续/USDT "	20.50USDT≈ 20.5USD	2021/07/17 10:42:55
"
OCEAN 永续/USDT "	6.65USDT≈ 6.65USD	2021/07/17 10:39:02
"
BAT 永续/USDT "	-7.34USDT≈ 7.33USD	2021/07/17 10:30:54
