"
ALGO 永续/USDT "	-11.03USDT≈ 11.03USD	2021/07/14 23:11:07
"
ENJ 永续/USDT "	0.49USDT≈ 0.49USD	2021/07/14 22:58:12
"
ICP 永续/USDT "	3.56USDT≈ 3.56USD	2021/07/14 22:53:34
"
AVAX 永续/USDT "	2.04USDT≈ 2.04USD	2021/07/14 22:39:12
"
ICP 永续/USDT "	-4.48USDT≈ 4.48USD	2021/07/14 22:27:52
"
MANA 永续/USDT "	16.40USDT≈ 16.4USD	2021/07/14 22:20:36
"
BCH 永续/USDT "	-14.82USDT≈ 14.82USD	2021/07/14 22:16:59
"
LUNA 永续/USDT "	0.15USDT≈ 0.15USD	2021/07/14 22:15:14
"
MANA 永续/USDT "	20.95USDT≈ 20.95USD	2021/07/14 22:04:30
"
ICP 永续/USDT "	-55.06USDT≈ 55.06USD	2021/07/14 22:00:04
"
ENJ 永续/USDT "	-1.78USDT≈ 1.78USD	2021/07/14 21:23:18
"
SXP 永续/USDT "	-10.88USDT≈ 10.88USD	2021/07/14 20:12:33
"
SNX 永续/USDT "	1.31USDT≈ 1.31USD	2021/07/14 19:39:14
"
IOST 永续/USDT "	1.28USDT≈ 1.28USD	2021/07/14 18:36:43
"
MANA 永续/USDT "	-21.33USDT≈ 21.33USD	2021/07/14 18:31:39
"
ALGO 永续/USDT "	2.41USDT≈ 2.41USD	2021/07/14 18:03:59
"
COMP 永续/USDT "	-9.24USDT≈ 9.23USD	2021/07/14 17:20:48
"
AAVE 永续/USDT "	9.03USDT≈ 9.03USD	2021/07/14 17:18:58
"
LUNA 永续/USDT "	3.52USDT≈ 3.52USD	2021/07/14 17:16:07
"
COMP 永续/USDT "	1.32USDT≈ 1.32USD	2021/07/14 17:05:08
"
MANA 永续/USDT "	0.25USDT≈ 0.25USD	2021/07/14 16:44:13
"
OCEAN 永续/USDT "	-1.00USDT≈ 1USD	2021/07/14 16:03:19
"
XMR 永续/USDT "	1.25USDT≈ 1.25USD	2021/07/14 14:31:38
"
ALGO 永续/USDT "	-0.26USDT≈ 0.26USD	2021/07/14 14:24:08
"
ALGO 永续/USDT "	-1.07USDT≈ 1.07USD	2021/07/14 14:13:16
"
ALGO 永续/USDT "	-0.28USDT≈ 0.28USD	2021/07/14 14:02:19
"
ALGO 永续/USDT "	-0.18USDT≈ 0.18USD	2021/07/14 13:54:49
"
ALGO 永续/USDT "	0.23USDT≈ 0.23USD	2021/07/14 13:22:58
"
ICP 永续/USDT "	0.09USDT≈ 0.09USD	2021/07/14 13:01:55
"
ATOM 永续/USDT "	14.51USDT≈ 14.51USD	2021/07/14 12:34:52
"
OCEAN 永续/USDT "	11.41USDT≈ 11.41USD	2021/07/14 12:09:16
"
ALGO 永续/USDT "	-2.71USDT≈ 2.71USD	2021/07/14 11:51:15
"
CHZ 永续/USDT "	1.68USDT≈ 1.68USD	2021/07/14 11:46:48
"
MANA 永续/USDT "	7.19USDT≈ 7.18USD	2021/07/14 11:38:26
"
ICP 永续/USDT "	26.65USDT≈ 26.65USD	2021/07/14 11:27:46
"
NEO 永续/USDT "	-7.16USDT≈ 7.15USD	2021/07/14 11:26:12
"
OCEAN 永续/USDT "	-1.56USDT≈ 1.56USD	2021/07/14 11:14:14
